date,value
2020-01-01,213.05999755859375
2020-01-08,219.05999755859375
2020-01-15,221.44000244140625
2020-01-22,217.7899932861328
2020-01-29,209.8300018310547
2020-02-05,207.19000244140625
2020-02-12,217.8000030517578
2020-02-19,196.77000427246094
2020-02-26,185.88999938964844
2020-03-04,178.19000244140625
2020-03-11,149.4199981689453
2020-03-18,160.97999572753906
2020-03-25,166.8000030517578
2020-04-01,168.8300018310547
2020-04-08,178.1699981689453
2020-04-15,170.8000030517578
2020-04-22,182.91000366210938
2020-04-29,207.07000732421875
2020-05-06,210.10000610351562
2020-05-13,216.8800048828125
2020-05-20,232.1999969482422
2020-05-27,232.72000122070312
2020-06-03,238.6699981689453
2020-06-10,235.64999389648438
2020-06-17,242.24000549316406
2020-06-24,227.07000732421875
2020-07-01,240.86000061035156
2020-07-08,239.72999572753906
2020-07-15,241.75
2020-07-22,230.1199951171875
2020-07-29,249.8300018310547
2020-08-05,256.1300048828125
2020-08-12,262.3399963378906
2020-08-19,280.82000732421875
2020-08-26,295.44000244140625
2020-09-02,271.1600036621094
2020-09-09,272.4200134277344
2020-09-16,254.75
2020-09-23,261.7900085449219
2020-09-30,258.6600036621094
2020-10-07,276.1400146484375
2020-10-14,267.55999755859375
2020-10-21,283.2900085449219
2020-10-28,265.29998779296875
2020-11-04,272.42999267578125
2020-11-11,275.0
2020-11-18,276.9200134277344
2020-11-25,286.54998779296875
2020-12-02,283.3999938964844
2020-12-09,275.54998779296875
2020-12-16,267.0899963378906
2020-12-23,276.7799987792969
2020-12-30,270.9700012207031
2021-01-06,251.08999633789062
2021-01-13,261.1000061035156
2021-01-20,282.04998779296875
2021-01-27,267.0799865722656
2021-02-03,269.45001220703125
2021-02-10,273.9700012207031
2021-02-17,265.8599853515625
2021-02-24,259.0
2021-03-03,265.739990234375
2021-03-10,279.2799987792969
2021-03-17,290.6300048828125
2021-03-24,288.0
2021-03-31,306.260009765625
2021-04-07,309.760009765625
2021-04-14,302.6499938964844
2021-04-21,303.57000732421875
2021-04-28,318.3599853515625
2021-05-05,306.5299987792969
2021-05-12,309.9599914550781
2021-05-19,327.7900085449219
2021-05-26,329.1300048828125
2021-06-02,333.67999267578125
2021-06-09,336.75
2021-06-16,339.0299987792969
2021-06-23,351.8900146484375
2021-06-30,352.7799987792969
2021-07-07,352.0899963378906
2021-07-14,341.6600036621094
2021-07-21,367.80999755859375
2021-07-28,351.239990234375
2021-08-04,361.1300048828125
2021-08-11,358.45001220703125
2021-08-18,365.510009765625
2021-08-25,379.3800048828125
2021-09-01,382.17999267578125
2021-09-08,376.5299987792969
2021-09-15,357.4800109863281
2021-09-22,340.6499938964844
2021-09-29,332.9599914550781
2021-10-06,323.7699890136719
2021-10-13,339.989990234375
2021-10-20,315.80999755859375
2021-10-27,328.0799865722656
2021-11-03,335.3699951171875
2021-11-10,342.9599914550781
2021-11-17,337.25
2021-11-24,324.4599914550781
2021-12-01,322.80999755859375
2021-12-08,333.739990234375
2021-12-15,334.20001220703125
2021-12-22,346.2200012207031
2021-12-29,336.5299987792969
2022-01-05,334.3699951171875
2022-01-12,318.1499938964844
2022-01-19,300.1499938964844
2022-01-26,319.0
2022-02-02,220.17999267578125
2022-02-09,221.0
2022-02-16,202.0800018310547
2022-02-23,203.49000549316406
2022-03-02,190.2899932861328
2022-03-09,192.02999877929688
2022-03-16,216.64999389648438
2022-03-23,229.86000061035156
2022-03-30,231.83999633789062
2022-04-06,214.13999938964844
2022-04-13,217.30999755859375
2022-04-20,180.9499969482422
2022-04-27,212.02999877929688
2022-05-04,197.64999389648438
2022-05-11,202.6199951171875
2022-05-18,181.27999877929688
2022-05-25,193.63999938964844
2022-06-01,195.64999389648438
2022-06-08,163.72999572753906
2022-06-15,157.0500030517578
2022-06-22,160.67999267578125
2022-06-29,168.19000244140625
2022-07-06,163.27000427246094
2022-07-13,175.77999877929688
2022-07-20,159.14999389648438
2022-07-27,160.19000244140625
2022-08-03,168.52999877929688
2022-08-10,179.47000122070312
2022-08-17,161.11000061035156
2022-08-24,157.16000366210938
2022-08-31,158.5399932861328
2022-09-07,153.1300048828125
2022-09-14,146.08999633789062
2022-09-21,134.39999389648438
2022-09-28,140.27999877929688
2022-10-05,128.5399932861328
2022-10-12,132.8000030517578
2022-10-19,137.50999450683594
2022-10-26,95.19999694824219
2022-11-02,96.47000122070312
2022-11-09,117.08000183105469
2022-11-16,111.44000244140625
2022-11-23,109.45999908447266
2022-11-30,114.12000274658203
2022-12-07,120.1500015258789
2022-12-14,117.08999633789062
2022-12-21,116.87999725341797
2022-12-28,124.73999786376953
2023-01-04,132.99000549316406
2023-01-11,135.36000061035156
2023-01-18,143.13999938964844
2023-01-25,148.97000122070312
2023-02-01,191.6199951171875
2023-02-08,179.47999572753906
2023-02-15,172.0800018310547
2023-02-22,174.94000244140625
2023-03-01,184.50999450683594
2023-03-08,194.02000427246094
2023-03-15,202.16000366210938
2023-03-22,200.67999267578125
2023-03-29,214.72000122070312
2023-04-05,213.85000610351562
2023-04-12,217.88999938964844
2023-04-19,207.5500030517578
2023-04-26,239.24000549316406
2023-05-03,233.3699951171875
2023-05-10,238.82000732421875
2023-05-17,246.74000549316406
2023-05-24,262.5199890136719
2023-05-31,271.1199951171875
2023-06-07,271.32000732421875
2023-06-14,284.3299865722656
2023-06-21,287.04998779296875
2023-06-28,286.0199890136719
2023-07-05,298.2900085449219
2023-07-12,312.04998779296875
2023-07-19,294.4700012207031
2023-07-26,322.7099914550781
2023-08-02,312.6400146484375
