date,value
2020-01-01,95.34300231933594
2020-01-08,93.47200012207031
2020-01-15,94.5999984741211
2020-01-22,92.6624984741211
2020-01-29,102.4834976196289
2020-02-05,107.54000091552734
2020-02-12,107.78350067138672
2020-02-19,98.63700103759766
2020-02-26,95.44950103759766
2020-03-04,94.59100341796875
2020-03-11,90.39199829101562
2020-03-18,97.00499725341797
2020-03-25,97.48600006103516
2020-04-01,100.58000183105469
2020-04-08,114.16600036621094
2020-04-15,116.40599822998047
2020-04-22,115.7040023803711
2020-04-29,115.88999938964844
2020-05-06,117.84750366210938
2020-05-13,122.46649932861328
2020-05-20,121.09300231933594
2020-05-27,123.62049865722656
2020-06-03,130.04299926757812
2020-06-10,130.7635040283203
2020-06-17,138.2205047607422
2020-06-24,137.9409942626953
2020-07-01,150.00599670410156
2020-07-08,154.1999969482422
2020-07-15,156.9145050048828
2020-07-22,150.01649475097656
2020-07-29,156.94149780273438
2020-08-05,154.0334930419922
2020-08-12,165.62449645996094
2020-08-19,167.32449340820312
2020-08-26,174.95599365234375
2020-09-02,157.49200439453125
2020-09-09,157.80650329589844
2020-09-16,156.44949340820312
2020-09-23,157.24400329589844
2020-09-30,154.9980010986328
2020-10-07,172.18150329589844
2020-10-14,160.85049438476562
2020-10-21,164.31649780273438
2020-10-28,152.42050170898438
2020-11-04,151.75100708007812
2020-11-11,156.7830047607422
2020-11-18,155.9029998779297
2020-11-25,161.00399780273438
2020-12-02,158.864501953125
2020-12-09,158.25599670410156
2020-12-16,160.3260040283203
2020-12-23,166.10000610351562
2020-12-30,160.92550659179688
2021-01-06,156.04150390625
2021-01-13,156.03799438476562
2021-01-20,166.30650329589844
2021-01-27,169.0
2021-02-03,165.25
2021-02-10,163.44749450683594
2021-02-17,159.72500610351562
2021-02-24,154.72650146484375
2021-03-03,153.1425018310547
2021-03-10,154.59300231933594
2021-03-17,156.875
2021-03-24,152.76449584960938
2021-03-31,161.1909942626953
2021-04-07,170.0
2021-04-14,166.7344970703125
2021-04-21,170.8715057373047
2021-04-28,165.593505859375
2021-05-05,161.19549560546875
2021-05-12,161.61399841308594
2021-05-19,162.95249938964844
2021-05-26,160.9324951171875
2021-06-02,163.20550537109375
2021-06-09,169.156494140625
2021-06-16,175.27200317382812
2021-06-23,172.40699768066406
2021-06-30,183.78700256347656
2021-07-07,183.8679962158203
2021-07-14,178.6595001220703
2021-07-21,181.3195037841797
2021-07-28,168.31199645996094
2021-08-04,166.03399658203125
2021-08-11,162.09800720214844
2021-08-18,165.28900146484375
2021-08-25,173.5395050048828
2021-09-01,175.46449279785156
2021-09-08,172.5
2021-09-15,167.18150329589844
2021-09-22,165.79800415039062
2021-09-29,161.0500030517578
2021-10-06,162.3665008544922
2021-10-13,172.20750427246094
2021-10-20,168.80349731445312
2021-10-27,165.6374969482422
2021-11-03,178.81149291992188
2021-11-10,177.03500366210938
2021-11-17,179.0019989013672
2021-11-24,175.35350036621094
2021-12-01,176.1645050048828
2021-12-08,169.0915069580078
2021-12-15,170.41700744628906
2021-12-22,170.66099548339844
2021-12-29,167.52200317382812
2022-01-05,165.36199951171875
2022-01-12,158.91749572753906
2022-01-19,139.98599243164062
2022-01-26,151.19349670410156
2022-02-02,161.4134979248047
2022-02-09,156.510498046875
2022-02-16,150.19749450683594
2022-02-23,151.14199829101562
2022-03-02,136.01449584960938
2022-03-09,147.3665008544922
2022-03-16,164.88900756835938
2022-03-23,169.31500244140625
2022-03-30,164.05499267578125
2022-04-06,150.78750610351562
2022-04-13,158.11549377441406
2022-04-20,139.39100646972656
2022-04-27,124.25350189208984
2022-05-04,108.85900115966797
2022-05-11,115.36849975585938
2022-05-18,104.0999984741211
2022-05-25,120.20950317382812
2022-06-01,123.0
2022-06-08,102.30999755859375
2022-06-15,108.68000030517578
2022-06-22,107.4000015258789
2022-06-29,113.5
2022-07-06,109.22000122070312
2022-07-13,118.20999908447266
2022-07-20,114.80999755859375
2022-07-27,134.16000366210938
2022-08-03,137.8300018310547
2022-08-10,144.77999877929688
2022-08-17,133.6199951171875
2022-08-24,128.72999572753906
2022-08-31,126.11000061035156
2022-09-07,126.81999969482422
2022-09-14,122.19000244140625
2022-09-21,114.41000366210938
2022-09-28,121.08999633789062
2022-10-05,112.20999908447266
2022-10-12,116.36000061035156
2022-10-19,120.5999984741211
2022-10-26,96.79000091552734
2022-11-02,89.9800033569336
2022-11-09,98.94000244140625
2022-11-16,93.19999694824219
2022-11-23,92.41999816894531
2022-11-30,88.25
2022-12-07,92.48999786376953
2022-12-14,85.19000244140625
2022-12-21,83.04000091552734
2022-12-28,85.81999969482422
2023-01-04,89.87000274658203
2023-01-11,96.05000305175781
2023-01-18,96.31999969482422
2023-01-25,103.12999725341797
2023-02-01,102.11000061035156
2023-02-08,99.69999694824219
2023-02-15,94.58000183105469
2023-02-22,94.2300033569336
2023-03-01,93.55000305175781
2023-03-08,94.87999725341797
2023-03-15,100.61000061035156
2023-03-22,97.23999786376953
2023-03-29,103.94999694824219
