date,value
2020-09-14,240.0
2020-09-21,229.0
2020-09-28,227.10000610351562
2020-10-05,238.0
2020-10-12,242.52000427246094
2020-10-19,265.04998779296875
2020-10-26,250.02000427246094
2020-11-02,265.0
2020-11-09,234.8000030517578
2020-11-16,266.0
2020-11-23,328.7900085449219
2020-11-30,387.70001220703125
2020-12-07,353.9599914550781
2020-12-14,334.25
2020-12-21,323.0400085449219
2020-12-28,281.3999938964844
2021-01-04,300.1000061035156
2021-01-11,291.29998779296875
2021-01-18,285.67999267578125
2021-01-25,272.45001220703125
2021-02-01,306.04998779296875
2021-02-08,299.4700012207031
2021-02-15,290.0
2021-02-22,259.5400085449219
2021-03-01,239.72999572753906
2021-03-08,230.0
2021-03-15,220.82000732421875
2021-03-22,235.0
2021-03-29,236.7899932861328
2021-04-05,226.88999938964844
2021-04-12,232.74000549316406
2021-04-19,235.63999938964844
2021-04-26,231.58999633789062
2021-05-03,206.0399932861328
2021-05-10,209.99000549316406
2021-05-17,233.38999938964844
2021-05-24,238.02999877929688
2021-05-31,242.55999755859375
2021-06-07,240.60000610351562
2021-06-14,249.39999389648438
2021-06-21,247.08999633789062
2021-06-28,237.24000549316406
2021-07-05,269.489990234375
2021-07-12,250.82000732421875
2021-07-19,264.9200134277344
2021-07-26,265.7200012207031
2021-08-02,277.4800109863281
2021-08-09,291.5199890136719
2021-08-16,266.6700134277344
2021-08-23,297.7099914550781
2021-08-30,310.0
2021-09-06,318.5400085449219
2021-09-13,322.79998779296875
2021-09-20,316.4700012207031
2021-09-27,303.7200012207031
2021-10-04,313.5199890136719
2021-10-11,333.57000732421875
2021-10-18,339.7799987792969
2021-10-25,353.8399963378906
2021-11-01,364.79998779296875
2021-11-08,386.5
2021-11-15,392.1499938964844
2021-11-22,362.6000061035156
2021-11-29,345.1099853515625
2021-12-06,371.239990234375
2021-12-13,332.3299865722656
2021-12-20,349.2200012207031
2021-12-27,338.75
2022-01-03,299.67999267578125
2022-01-10,289.5899963378906
2022-01-17,267.55999755859375
2022-01-24,253.52000427246094
2022-01-31,275.7200012207031
2022-02-07,293.69000244140625
2022-02-14,273.7699890136719
2022-02-21,269.4200134277344
2022-02-28,209.64999389648438
2022-03-07,180.4199981689453
2022-03-14,222.85000610351562
2022-03-21,219.80999755859375
2022-03-28,234.80999755859375
2022-04-04,208.33999633789062
2022-04-11,198.6300048828125
2022-04-18,173.8000030517578
2022-04-25,171.44000244140625
2022-05-02,155.27000427246094
2022-05-09,158.36000061035156
2022-05-16,141.49000549316406
2022-05-23,129.91000366210938
2022-05-30,129.82000732421875
2022-06-06,122.41999816894531
2022-06-13,119.37999725341797
2022-06-20,151.52999877929688
2022-06-27,144.52999877929688
2022-07-04,159.67999267578125
2022-07-11,147.9499969482422
2022-07-18,142.99000549316406
2022-07-25,149.91000366210938
2022-08-01,165.52999877929688
2022-08-08,168.67999267578125
2022-08-15,153.94000244140625
2022-08-22,197.7100067138672
2022-08-29,171.49000549316406
2022-09-05,188.19000244140625
2022-09-12,184.6699981689453
2022-09-19,172.1300048828125
2022-09-26,169.9600067138672
2022-10-03,175.10000610351562
2022-10-10,152.3800048828125
2022-10-17,177.10000610351562
2022-10-24,159.69000244140625
2022-10-31,132.30999755859375
2022-11-07,159.41000366210938
2022-11-14,146.1999969482422
2022-11-21,144.72000122070312
2022-11-28,149.74000549316406
2022-12-05,144.52999877929688
2022-12-12,142.4499969482422
2022-12-19,138.49000549316406
2022-12-26,143.5399932861328
2023-01-02,124.05999755859375
2023-01-09,140.8699951171875
2023-01-16,144.82000732421875
2023-01-23,159.36000061035156
2023-01-30,163.2899932861328
2023-02-06,157.3300018310547
2023-02-13,154.0800018310547
2023-02-20,148.44000244140625
2023-02-27,142.11000061035156
2023-03-06,131.4600067138672
2023-03-13,135.6199951171875
2023-03-20,136.52999877929688
2023-03-27,154.2899932861328
2023-04-03,145.67999267578125
2023-04-10,142.1300048828125
2023-04-17,145.19000244140625
2023-04-24,148.0800018310547
2023-05-01,154.1699981689453
2023-05-08,167.39999389648438
2023-05-15,176.82000732421875
2023-05-22,150.00999450683594
2023-05-29,175.2100067138672
2023-06-05,170.64999389648438
2023-06-12,184.17999267578125
2023-06-19,178.25
2023-06-26,175.97999572753906
2023-07-03,170.61000061035156
2023-07-10,180.7899932861328
2023-07-17,175.89999389648438
2023-07-24,174.8300018310547
2023-07-31,166.6699981689453
2023-08-07,153.3699951171875
2023-08-14,147.6300048828125
2023-08-21,152.5500030517578
2023-08-28,157.0800018310547
2023-09-04,165.9499969482422
2023-09-11,162.41000366210938
2023-09-18,149.6999969482422
2023-09-25,152.77000427246094
2023-10-02,159.9499969482422
2023-10-09,157.16000366210938
2023-10-16,147.6699981689453
2023-10-23,143.3800048828125
2023-10-30,149.99000549316406
2023-11-06,160.39999389648438
2023-11-13,161.85000610351562
2023-11-20,171.16000366210938
2023-11-27,185.97000122070312
2023-12-04,190.6699981689453
2023-12-11,199.00999450683594
2023-12-18,195.6699981689453
2023-12-25,199.0
2024-01-01,189.1199951171875
2024-01-08,191.25999450683594
2024-01-15,193.1199951171875
2024-01-22,202.50999450683594
2024-01-29,218.75999450683594
2024-02-05,233.27999877929688
2024-02-12,230.30999755859375
2024-02-19,229.33999633789062
2024-02-26,186.72000122070312
2024-03-04,162.39999389648438
2024-03-11,156.97000122070312
2024-03-18,159.02999877929688
2024-03-25,161.60000610351562
2024-04-01,153.86000061035156
2024-04-08,158.55999755859375
2024-04-15,145.4499969482422
2024-04-22,158.1300048828125
2024-04-29,159.32000732421875
2024-05-06,157.14999389648438
2024-05-13,161.86000061035156
2024-05-20,156.16000366210938
2024-05-27,136.17999267578125
2024-06-03,131.2100067138672
2024-06-10,127.16999816894531
2024-06-17,127.80000305175781
2024-06-24,135.08999633789062
2024-07-01,143.02000427246094
2024-07-08,135.75
2024-07-15,129.85000610351562
2024-07-22,129.0
2024-07-29,119.7699966430664
2024-08-05,124.41000366210938
2024-08-12,128.0399932861328
2024-08-19,115.86000061035156
2024-08-26,114.2300033569336
