date,value
2020-01-01,157.5800018310547
2020-01-08,162.1300048828125
2020-01-15,166.5
2020-01-22,165.4600067138672
2020-01-29,180.1199951171875
2020-02-05,184.44000244140625
2020-02-12,187.22999572753906
2020-02-19,168.07000732421875
2020-02-26,164.50999450683594
2020-03-04,160.9199981689453
2020-03-11,146.57000732421875
2020-03-18,148.33999633789062
2020-03-25,157.7100067138672
2020-04-01,163.49000549316406
2020-04-08,173.6999969482422
2020-04-15,167.82000732421875
2020-04-22,169.80999755859375
2020-04-29,180.75999450683594
2020-05-06,182.50999450683594
2020-05-13,183.6300048828125
2020-05-20,181.57000732421875
2020-05-27,184.91000366210938
2020-06-03,189.8000030517578
2020-06-10,193.57000732421875
2020-06-17,201.91000366210938
2020-06-24,203.50999450683594
2020-07-01,208.25
2020-07-08,208.35000610351562
2020-07-15,208.75
2020-07-22,202.02000427246094
2020-07-29,213.2899932861328
2020-08-05,203.3800048828125
2020-08-12,211.49000549316406
2020-08-19,216.47000122070312
2020-08-26,227.27000427246094
2020-09-02,202.66000366210938
2020-09-09,208.77999877929688
2020-09-16,207.4199981689453
2020-09-23,207.25999450683594
2020-09-30,205.91000366210938
2020-10-07,222.86000061035156
2020-10-14,214.64999389648438
2020-10-21,213.25
2020-10-28,206.42999267578125
2020-11-04,211.00999450683594
2020-11-11,214.4600067138672
2020-11-18,213.86000061035156
2020-11-25,216.2100067138672
2020-12-02,216.00999450683594
2020-12-09,214.1300048828125
2020-12-16,223.94000244140625
2020-12-23,224.14999389648438
2020-12-30,217.89999389648438
2021-01-06,214.92999267578125
2021-01-13,216.44000244140625
2021-01-20,232.3300018310547
2021-01-27,239.50999450683594
2021-02-03,243.77000427246094
2021-02-10,243.6999969482422
2021-02-17,233.27000427246094
2021-02-24,233.8699951171875
2021-03-03,233.77999877929688
2021-03-10,237.7100067138672
2021-03-17,237.5800018310547
2021-03-24,231.85000610351562
2021-03-31,247.86000061035156
2021-04-07,258.489990234375
2021-04-14,258.260009765625
2021-04-21,261.9700012207031
2021-04-28,247.7899932861328
2021-05-05,246.22999572753906
2021-05-12,243.0800018310547
2021-05-19,251.72000122070312
2021-05-26,247.39999389648438
2021-06-02,252.57000732421875
2021-06-09,258.3599853515625
2021-06-16,265.510009765625
2021-06-23,271.3999938964844
2021-06-30,277.6600036621094
2021-07-07,280.9800109863281
2021-07-14,279.32000732421875
2021-07-21,286.5400085449219
2021-07-28,287.1199951171875
