signal_time,fill_time,signal_close,weekly_high,points_lost,fill_price,buy_trade_shares,buy_trade_value,buy_fee_usd,sell_shares,sell_value,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2024-01-03,2024-01-04,135.32000732421875,138.5800018310547,3.2599945068359375,136.00999450683594,3.0,408.23399851226804,0.40823399851226805,0.0,0.0,0.0,False,9591.35776748922,3.0,9997.317789461877
2024-01-04,2024-01-05,136.00999450683594,138.5800018310547,2.57000732421875,138.5800018310547,0.0,0.0,0.0,0.0,0.0,0.0,False,9591.35776748922,3.0,9999.387751009728
2024-01-05,2024-01-08,138.5800018310547,138.5800018310547,0.0,146.17999267578125,0.0,0.0,0.0,3.0,438.32070803833017,0.4383207080383302,False,10029.240154819512,0.0,10029.240154819512
2024-01-08,2024-01-09,146.17999267578125,146.17999267578125,0.0,149.25999450683594,0.0,0.0,0.0,0.0,0.0,0.0,False,10029.240154819512,0.0,10029.240154819512
2024-01-09,2024-01-10,149.25999450683594,149.25999450683594,0.0,148.5399932861328,0.0,0.0,0.0,0.0,0.0,0.0,False,10029.240154819512,0.0,10029.240154819512
2024-01-10,2024-01-11,148.5399932861328,149.25999450683594,0.720001220703125,148.02000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,10029.240154819512,0.0,10029.240154819512
2024-01-11,2024-01-12,148.02000427246094,149.25999450683594,1.239990234375,146.55999755859375,1.0,146.63327755737305,0.14663327755737304,0.0,0.0,0.0,False,9882.460243984582,1.0,10030.480248257043
2024-01-12,2024-01-16,146.55999755859375,149.25999450683594,2.6999969482421875,158.74000549316406,1.0,158.81937549591063,0.15881937549591063,0.0,0.0,0.0,False,9723.482049113176,2.0,10016.602044230363
2024-01-16,2024-01-17,158.74000549316406,158.74000549316406,0.0,160.1699981689453,0.0,0.0,0.0,1.0,160.08991316986084,0.16008991316986085,False,9883.411872369867,1.0,10042.15187786303
2024-01-17,2024-01-18,160.1699981689453,160.1699981689453,0.0,162.6699981689453,0.0,0.0,0.0,0.0,0.0,0.0,False,9883.411872369867,1.0,10043.581870538812
2024-01-18,2024-01-19,162.6699981689453,162.6699981689453,0.0,174.22999572753906,0.0,0.0,0.0,1.0,174.1428807296753,0.17414288072967532,False,10057.380610218812,0.0,10057.380610218812
2024-01-19,2024-01-22,174.22999572753906,174.22999572753906,0.0,168.17999267578125,0.0,0.0,0.0,0.0,0.0,0.0,False,10057.380610218812,0.0,10057.380610218812
2024-01-22,2024-01-23,168.17999267578125,174.22999572753906,6.0500030517578125,168.4199981689453,6.0,1011.0252490081787,1.0110252490081786,0.0,0.0,0.0,False,9045.344335961625,6.0,10054.424292016312
2024-01-23,2024-01-24,168.4199981689453,174.22999572753906,5.80999755859375,178.2899932861328,0.0,0.0,0.0,0.0,0.0,0.0,False,9045.344335961625,6.0,10055.864324975297
2024-01-24,2024-01-25,178.2899932861328,178.2899932861328,0.0,180.3300018310547,0.0,0.0,0.0,6.0,1081.439020980835,1.081439020980835,False,10125.701917921479,0.0,10125.701917921479
2024-01-25,2024-01-26,180.3300018310547,180.3300018310547,0.0,177.25,0.0,0.0,0.0,0.0,0.0,0.0,False,10125.701917921479,0.0,10125.701917921479
2024-01-26,2024-01-29,177.25,180.3300018310547,3.0800018310546875,177.8300018310547,3.0,533.7567504959106,0.5337567504959106,0.0,0.0,0.0,False,9591.411410675071,3.0,10123.161410675071
2024-01-29,2024-01-30,177.8300018310547,180.3300018310547,2.5,172.05999755859375,0.0,0.0,0.0,0.0,0.0,0.0,False,9591.411410675071,3.0,10124.901416168235
2024-01-30,2024-01-31,172.05999755859375,180.3300018310547,8.270004272460938,167.69000244140625,5.0,838.8692372131346,0.8388692372131347,0.0,0.0,0.0,False,8751.703304224724,8.0,10128.183284693474
2024-01-31,2024-02-01,167.69000244140625,180.3300018310547,12.639999389648438,170.47999572753906,4.0,682.2609429016113,0.6822609429016113,0.0,0.0,0.0,False,8068.760100380211,12.0,10081.040129677087
2024-02-01,2024-02-02,170.47999572753906,177.8300018310547,7.350006103515625,177.66000366210938,0.0,0.0,0.0,5.0,887.8558683013916,0.8878558683013916,False,8955.728112813302,7.0,10149.088082906075
2024-02-02,2024-02-05,177.66000366210938,177.8300018310547,0.1699981689453125,174.22999572753906,0.0,0.0,0.0,4.0,696.5715229187012,0.6965715229187013,False,9651.603064209085,3.0,10184.583075195413
