signal_time,fill_time,signal_close,weekly_high,points_lost,fill_price,buy_trade_shares,buy_trade_value,buy_fee_usd,sell_shares,sell_value,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2024-01-03,2024-01-04,184.25,185.63999938964844,1.3899993896484375,181.91000366210938,1.0,182.00095866394042,0.18200095866394042,0.0,0.0,0.0,False,9817.817040377395,1.0,10002.067040377395
2024-01-04,2024-01-05,181.91000366210938,185.63999938964844,3.7299957275390625,181.17999267578125,2.0,362.54116534423827,0.36254116534423825,0.0,0.0,0.0,False,9454.913333867813,3.0,10000.643344854141
2024-01-05,2024-01-08,181.17999267578125,185.63999938964844,4.4600067138671875,185.55999755859375,1.0,185.65277755737304,0.18565277755737306,0.0,0.0,0.0,False,9269.074903532883,4.0,9993.794874236008
2024-01-08,2024-01-09,185.55999755859375,185.63999938964844,0.0800018310546875,185.13999938964844,0.0,0.0,0.0,3.0,555.1422881698609,0.7401897175598146,False,9823.477001985184,1.0,10009.036999543778
2024-01-09,2024-01-10,185.13999938964844,185.55999755859375,0.4199981689453125,186.19000244140625,0.0,0.0,0.0,0.0,0.0,0.0,False,9823.477001985184,1.0,10008.617001374832
2024-01-10,2024-01-11,186.19000244140625,186.19000244140625,0.0,185.58999633789062,0.0,0.0,0.0,0.0,0.0,0.0,False,9823.477001985184,1.0,10009.66700442659
2024-01-11,2024-01-12,185.58999633789062,186.19000244140625,0.600006103515625,185.9199981689453,0.0,0.0,0.0,0.0,0.0,0.0,False,9823.477001985184,1.0,10009.066998323075
2024-01-12,2024-01-16,185.9199981689453,186.19000244140625,0.2700042724609375,183.6300048828125,0.0,0.0,0.0,0.0,0.0,0.0,False,9823.477001985184,1.0,10009.39700015413
2024-01-16,2024-01-17,183.6300048828125,186.19000244140625,2.55999755859375,182.67999267578125,1.0,182.77133267211914,0.18277133267211915,0.0,0.0,0.0,False,9640.522897980392,2.0,10007.782907746017
2024-01-17,2024-01-18,182.67999267578125,186.19000244140625,3.510009765625,188.6300048828125,1.0,188.7243198852539,0.1887243198852539,0.0,0.0,0.0,False,9451.609853775253,3.0,9999.649831802597
2024-01-18,2024-01-19,188.6300048828125,188.6300048828125,0.0,191.55999755859375,0.0,0.0,0.0,2.0,382.92843511962894,0.5743926526794434,False,9833.963896242203,1.0,10022.593901125016
2024-01-19,2024-01-22,191.55999755859375,191.55999755859375,0.0,193.88999938964844,0.0,0.0,0.0,1.0,193.79305438995362,0.19379305438995362,False,10027.563157577766,0.0,10027.563157577766
