signal_time,fill_time,signal_close,weekly_high,points_lost,fill_price,buy_trade_shares,buy_trade_value,buy_fee_usd,sell_shares,sell_value,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2024-01-03,2024-01-04,16.690000534057617,16.690000534057617,0.0,16.360000610351562,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-04,2024-01-05,16.360000610351562,16.690000534057617,0.3299999237060547,15.960000038146973,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-05,2024-01-08,15.960000038146973,16.690000534057617,0.7300004959106445,15.789999961853027,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-08,2024-01-09,15.789999961853027,16.690000534057617,0.9000005722045898,15.15999984741211,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-09,2024-01-10,15.15999984741211,16.690000534057617,1.5300006866455078,15.729999542236328,1.0,15.737864542007445,0.015737864542007447,0.0,0.0,0.0,False,9984.24639759345,1.0,9999.406397440862
2024-01-10,2024-01-11,15.729999542236328,16.360000610351562,0.6300010681152344,15.25,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9999.976397135686
2024-01-11,2024-01-12,15.25,15.960000038146973,0.7100000381469727,14.75,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9999.49639759345
2024-01-12,2024-01-16,14.75,15.789999961853027,1.0399999618530273,13.979999542236328,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.99639759345
2024-01-16,2024-01-17,13.979999542236328,15.729999542236328,1.75,14.079999923706055,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.226397135686
2024-01-17,2024-01-18,14.079999923706055,15.729999542236328,1.6499996185302734,14.289999961853027,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.326397517156
2024-01-18,2024-01-19,14.289999961853027,15.25,0.9600000381469727,14.510000228881836,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.536397555303
2024-01-19,2024-01-22,14.510000228881836,14.75,0.23999977111816406,14.899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.756397822332
2024-01-22,2024-01-23,14.899999618530273,14.899999618530273,0.0,14.180000305175781,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9999.14639721198
2024-01-23,2024-01-24,14.180000305175781,14.899999618530273,0.7199993133544922,13.949999809265137,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.426397898626
2024-01-24,2024-01-25,13.949999809265137,14.899999618530273,0.9499998092651367,14.520000457763672,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.196397402715
2024-01-25,2024-01-26,14.520000457763672,14.899999618530273,0.37999916076660156,14.489999771118164,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.766398051213
2024-01-26,2024-01-29,14.489999771118164,14.899999618530273,0.4099998474121094,14.779999732971191,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.736397364568
2024-01-29,2024-01-30,14.779999732971191,14.779999732971191,0.0,14.550000190734863,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9999.026397326421
2024-01-30,2024-01-31,14.550000190734863,14.779999732971191,0.22999954223632812,14.229999542236328,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.796397784185
2024-01-31,2024-02-01,14.229999542236328,14.779999732971191,0.5500001907348633,14.420000076293945,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.476397135686
2024-02-01,2024-02-02,14.420000076293945,14.779999732971191,0.3599996566772461,14.729999542236328,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.666397669744
2024-02-02,2024-02-05,14.729999542236328,14.779999732971191,0.05000019073486328,13.460000038146973,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.976397135686
2024-02-05,2024-02-06,13.460000038146973,14.729999542236328,1.2699995040893555,14.100000381469727,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9997.706397631597
2024-02-06,2024-02-07,14.100000381469727,14.729999542236328,0.6299991607666016,14.069999694824219,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.34639797492
2024-02-07,2024-02-08,14.069999694824219,14.729999542236328,0.6599998474121094,14.350000381469727,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.316397288274
2024-02-08,2024-02-09,14.350000381469727,14.729999542236328,0.37999916076660156,14.65999984741211,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.59639797492
2024-02-09,2024-02-12,14.65999984741211,14.65999984741211,0.0,14.729999542236328,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.906397440862
2024-02-12,2024-02-13,14.729999542236328,14.729999542236328,0.0,14.170000076293945,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.976397135686
2024-02-13,2024-02-14,14.170000076293945,14.729999542236328,0.5599994659423828,14.40999984741211,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.416397669744
2024-02-14,2024-02-15,14.40999984741211,14.729999542236328,0.31999969482421875,14.510000228881836,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.656397440862
2024-02-15,2024-02-16,14.510000228881836,14.729999542236328,0.2199993133544922,14.119999885559082,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.756397822332
2024-02-16,2024-02-20,14.119999885559082,14.729999542236328,0.6099996566772461,13.489999771118164,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.366397479009
2024-02-20,2024-02-21,13.489999771118164,14.510000228881836,1.0200004577636719,13.40999984741211,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9997.736397364568
2024-02-21,2024-02-22,13.40999984741211,14.510000228881836,1.1000003814697266,13.359999656677246,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9997.656397440862
2024-02-22,2024-02-23,13.359999656677246,14.510000228881836,1.1500005722045898,13.510000228881836,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9997.606397250127
2024-02-23,2024-02-26,13.510000228881836,14.119999885559082,0.6099996566772461,13.680000305175781,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9997.756397822332
2024-02-26,2024-02-27,13.680000305175781,13.680000305175781,0.0,14.210000038146973,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9997.926397898626
2024-02-27,2024-02-28,14.210000038146973,14.210000038146973,0.0,14.239999771118164,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.456397631597
2024-02-28,2024-02-29,14.239999771118164,14.239999771118164,0.0,14.270000457763672,0.0,0.0,0.0,0.0,0.0,0.0,False,9984.24639759345,1.0,9998.486397364568
