signal_time,fill_time,prev_close,signal_close,points_down_24h,fill_close_raw,buy_shares,buy_value_usd,buy_fee_usd,sell_shares,sell_value_usd,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2025-01-03,2025-01-06,14.130000114440918,14.84000015258789,0.0,15.289999961853027,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-06,2025-01-07,14.84000015258789,15.289999961853027,0.0,14.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-07,2025-01-08,15.289999961853027,14.90999984741211,0.0,14.550000190734863,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-08,2025-01-10,14.90999984741211,14.550000190734863,0.0,14.149999618530273,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-10,2025-01-13,14.550000190734863,14.149999618530273,0.0,14.069999694824219,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-13,2025-01-14,14.149999618530273,14.069999694824219,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-14,2025-01-15,14.069999694824219,14.5,0.0,15.510000228881836,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-15,2025-01-16,14.5,15.510000228881836,0.0,16.299999237060547,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-16,2025-01-17,15.510000228881836,16.299999237060547,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-17,2025-01-21,16.299999237060547,16.5,0.0,17.899999618530273,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-21,2025-01-22,16.5,17.899999618530273,0.0,17.59000015258789,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-22,2025-01-23,17.899999618530273,17.59000015258789,0.0,18.030000686645508,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-23,2025-01-24,17.59000015258789,18.030000686645508,0.0,17.920000076293945,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-24,2025-01-27,18.030000686645508,17.920000076293945,0.0,16.079999923706055,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2025-01-27,2025-01-28,17.920000076293945,16.079999923706055,1.0,16.170000076293945,0.06181201268764256,1.0,0.001,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.9929371593
2025-01-28,2025-01-29,16.079999923706055,16.170000076293945,0.0,15.989999771118164,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.998500249874
2025-01-29,2025-01-30,16.170000076293945,15.989999771118164,0.0,16.440000534057617,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.987374068727
2025-01-30,2025-01-31,15.989999771118164,16.440000534057617,0.0,15.779999732971191,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,10000.015189521595
2025-01-31,2025-02-03,16.440000534057617,15.779999732971191,0.0,15.399999618530273,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.974393543705
2025-02-03,2025-02-04,15.779999732971191,15.399999618530273,0.0,15.289999961853027,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.95090497181
2025-02-04,2025-02-05,15.399999618530273,15.289999961853027,0.0,15.489999771118164,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.944105671635
2025-02-05,2025-02-06,15.289999961853027,15.489999771118164,0.0,14.800000190734863,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.956468062384
2025-02-06,2025-02-07,15.489999771118164,14.800000190734863,0.0,14.90999984741211,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.913817799566
2025-02-07,2025-02-10,14.800000190734863,14.90999984741211,0.0,15.130000114440918,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.92061709974
2025-02-10,2025-02-11,14.90999984741211,15.130000114440918,0.0,14.829999923706055,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.934215759038
2025-02-11,2025-02-12,15.130000114440918,14.829999923706055,0.0,14.770000457763672,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.915672143441
2025-02-12,2025-02-13,14.829999923706055,14.770000457763672,0.0,15.1899995803833,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.911963455692
2025-02-13,2025-02-14,14.770000457763672,15.1899995803833,0.0,16.209999084472656,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,9999.937924446787
2025-02-14,2025-02-18,15.1899995803833,16.209999084472656,0.0,16.829999923706055,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,10000.000972669075
2025-02-18,2025-02-19,16.209999084472656,16.829999923706055,0.0,16.18000030517578,0.0,0.0,0.0,0.0,0.0,0.0,False,9998.999,0.06181201268764256,10000.039296168818
