signal_time,fill_time,signal_close,weekly_high,points_lost,fill_price,buy_trade_shares,buy_trade_value,buy_fee_usd,sell_shares,sell_value,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2024-01-23,2024-01-24,59.87300109863281,59.87300109863281,0.0,61.36199951171875,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-24,2024-01-25,61.36199951171875,61.36199951171875,0.0,61.617000579833984,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-25,2024-01-26,61.617000579833984,61.617000579833984,0.0,61.03099822998047,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-26,2024-01-29,61.03099822998047,61.617000579833984,0.5860023498535156,62.46500015258789,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-29,2024-01-30,62.46500015258789,62.46500015258789,0.0,62.77399826049805,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-30,2024-01-31,62.77399826049805,62.77399826049805,0.0,61.527000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,10000.0,0.0,10000.0
2024-01-31,2024-02-01,61.527000427246094,62.77399826049805,1.2469978332519531,63.027000427246094,1.0,63.058513927459714,0.06305851392745972,0.0,0.0,0.0,False,9936.878427558613,1.0,9998.40542798586
2024-02-01,2024-02-02,63.027000427246094,63.027000427246094,0.0,66.16000366210938,0.0,0.0,0.0,0.0,0.0,0.0,False,9936.878427558613,1.0,9999.90542798586
2024-02-02,2024-02-05,66.16000366210938,66.16000366210938,0.0,69.33200073242188,0.0,0.0,0.0,1.0,69.29733473205567,0.06929733473205568,False,10006.106464955938,0.0,10006.106464955938
2024-02-05,2024-02-06,69.33200073242188,69.33200073242188,0.0,68.2229995727539,0.0,0.0,0.0,0.0,0.0,0.0,False,10006.106464955938,0.0,10006.106464955938
2024-02-06,2024-02-07,68.2229995727539,69.33200073242188,1.1090011596679688,70.0989990234375,1.0,70.13404852294921,0.07013404852294922,0.0,0.0,0.0,False,9935.902282384466,1.0,10004.12528195722
2024-02-07,2024-02-08,70.0989990234375,70.0989990234375,0.0,69.64099884033203,0.0,0.0,0.0,0.0,0.0,0.0,False,9935.902282384466,1.0,10006.001281407904
2024-02-08,2024-02-09,69.64099884033203,70.0989990234375,0.45800018310546875,72.13300323486328,0.0,0.0,0.0,0.0,0.0,0.0,False,9935.902282384466,1.0,10005.543281224798
2024-02-09,2024-02-12,72.13300323486328,72.13300323486328,0.0,72.24800109863281,0.0,0.0,0.0,0.0,0.0,0.0,False,9935.902282384466,1.0,10008.03528561933
2024-02-12,2024-02-13,72.24800109863281,72.24800109863281,0.0,72.12799835205078,0.0,0.0,0.0,1.0,72.09193435287476,0.07209193435287475,False,10007.922124802988,0.0,10007.922124802988
2024-02-13,2024-02-14,72.12799835205078,72.24800109863281,0.12000274658203125,73.9000015258789,0.0,0.0,0.0,0.0,0.0,0.0,False,10007.922124802988,0.0,10007.922124802988
2024-02-14,2024-02-15,73.9000015258789,73.9000015258789,0.0,72.65799713134766,0.0,0.0,0.0,0.0,0.0,0.0,False,10007.922124802988,0.0,10007.922124802988
2024-02-15,2024-02-16,72.65799713134766,73.9000015258789,1.24200439453125,72.61299896240234,1.0,72.64930546188354,0.07264930546188354,0.0,0.0,0.0,False,9935.200170035643,1.0,10007.85816716699
2024-02-16,2024-02-20,72.61299896240234,73.9000015258789,1.2870025634765625,69.4520034790039,0.0,0.0,0.0,0.0,0.0,0.0,False,9935.200170035643,1.0,10007.813168998046
2024-02-20,2024-02-21,69.4520034790039,73.9000015258789,4.447998046875,67.47200012207031,3.0,202.51720836639402,0.20251720836639403,0.0,0.0,0.0,False,9732.480444460884,4.0,10010.2884583769
2024-02-21,2024-02-22,67.47200012207031,73.9000015258789,6.428001403808594,78.53800201416016,2.0,157.15454203033445,0.15715454203033447,0.0,0.0,0.0,False,9575.168747888518,6.0,9980.00074862094
2024-02-22,2024-02-23,78.53800201416016,78.53800201416016,0.0,78.81700134277344,0.0,0.0,0.0,4.0,315.1103713684082,0.39388796421051026,False,9889.885231292716,2.0,10046.961235321036
2024-02-23,2024-02-26,78.81700134277344,78.81700134277344,0.0,79.09200286865234,0.0,0.0,0.0,0.0,0.0,0.0,False,9889.885231292716,2.0,10047.519233978262
2024-02-26,2024-02-27,79.09200286865234,79.09200286865234,0.0,78.70099639892578,0.0,0.0,0.0,0.0,0.0,0.0,False,9889.885231292716,2.0,10048.06923703002
2024-02-27,2024-02-28,78.70099639892578,79.09200286865234,0.3910064697265625,77.66300201416016,0.0,0.0,0.0,0.0,0.0,0.0,False,9889.885231292716,2.0,10047.287224090567
2024-02-28,2024-02-29,77.66300201416016,79.09200286865234,1.4290008544921875,79.11199951171875,0.0,0.0,0.0,0.0,0.0,0.0,False,9889.885231292716,2.0,10045.211235321036
