signal_time,fill_time,signal_close,weekly_high,points_lost,fill_price,buy_trade_shares,buy_trade_value,buy_fee_usd,sell_shares,sell_value,sell_fee_usd,skipped,cash_usd,total_shares,equity_usd
2024-01-03,2024-01-04,238.4499969482422,248.4199981689453,9.970001220703125,237.92999267578125,9.0,2142.440619049072,2.142440619049072,0.0,0.0,0.0,False,7855.416940331879,9.0,10001.466912866059
2024-01-04,2024-01-05,237.92999267578125,248.4199981689453,10.490005493164062,237.49000549316406,1.0,237.60875049591064,0.23760875049591065,0.0,0.0,0.0,False,7617.570581085472,10.0,9996.870507843285
2024-01-05,2024-01-08,237.49000549316406,248.4199981689453,10.92999267578125,240.4499969482422,0.0,0.0,0.0,0.0,0.0,0.0,False,7617.570581085472,10.0,9992.470636017113
2024-01-08,2024-01-09,240.4499969482422,248.4199981689453,7.970001220703125,234.9600067138672,7.0,1645.5424070205688,1.6455424070205689,10.0,2348.4252671051026,4.462008007499695,False,8314.345890755487,7.0,9997.495869393182
2024-01-09,2024-01-10,234.9600067138672,240.4499969482422,5.489990234375,233.94000244140625,0.0,0.0,0.0,0.0,0.0,0.0,False,8314.345890755487,7.0,9959.065937752557
2024-01-10,2024-01-11,233.94000244140625,240.4499969482422,6.5099945068359375,227.22000122070312,0.0,0.0,0.0,0.0,0.0,0.0,False,8314.345890755487,7.0,9951.92590784533
2024-01-11,2024-01-12,227.22000122070312,240.4499969482422,13.229995727539062,218.88999938964844,6.0,1313.9966663360594,1.3139966663360594,0.0,0.0,0.0,False,6999.035227753091,13.0,9952.895243622232
2024-01-12,2024-01-16,218.88999938964844,240.4499969482422,21.55999755859375,219.91000366210938,8.0,1760.1596693115234,1.7601596693115236,0.0,0.0,0.0,False,5237.1153987722555,21.0,9833.805385954873
2024-01-16,2024-01-17,219.91000366210938,234.9600067138672,15.050003051757812,215.5500030517578,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9855.225475676552
2024-01-17,2024-01-18,215.5500030517578,233.94000244140625,18.389999389648438,211.8800048828125,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9763.66546285917
2024-01-18,2024-01-19,211.8800048828125,227.22000122070312,15.339996337890625,212.19000244140625,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9686.595501311318
2024-01-19,2024-01-22,212.19000244140625,219.91000366210938,7.720001220703125,208.8000030517578,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9693.105450041787
2024-01-22,2024-01-23,208.8000030517578,219.91000366210938,11.110000610351562,209.13999938964844,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9621.91546285917
2024-01-23,2024-01-24,209.13999938964844,215.5500030517578,6.410003662109375,207.8300018310547,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9629.055385954873
2024-01-24,2024-01-25,207.8300018310547,212.19000244140625,4.3600006103515625,182.6300048828125,0.0,0.0,0.0,0.0,0.0,0.0,False,5237.1153987722555,21.0,9601.545437224404
2024-01-25,2024-01-26,182.6300048828125,212.19000244140625,29.55999755859375,183.25,8.0,1466.733,1.466733,0.0,0.0,0.0,False,3768.9156657722556,29.0,9065.185807373819
2024-01-26,2024-01-29,183.25,209.13999938964844,25.889999389648438,190.92999267578125,0.0,0.0,0.0,0.0,0.0,0.0,False,3768.9156657722556,29.0,9083.165665772256
2024-01-29,2024-01-30,190.92999267578125,209.13999938964844,18.210006713867188,191.58999633789062,0.0,0.0,0.0,8.0,1531.9536107177735,1.5319536107177736,False,5299.337322879312,21.0,9308.867169070718
2024-01-30,2024-01-31,191.58999633789062,207.8300018310547,16.240005493164062,187.2899932861328,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9322.727245975015
2024-01-31,2024-02-01,187.2899932861328,191.58999633789062,4.3000030517578125,188.86000061035156,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9232.4271818881
2024-02-01,2024-02-02,188.86000061035156,191.58999633789062,2.7299957275390625,187.91000366210938,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9265.397335696694
2024-02-02,2024-02-05,187.91000366210938,191.58999633789062,3.67999267578125,181.05999755859375,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9245.447399783608
2024-02-05,2024-02-06,181.05999755859375,191.58999633789062,10.529998779296875,185.10000610351562,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9101.59727160978
2024-02-06,2024-02-07,185.10000610351562,188.86000061035156,3.7599945068359375,187.5800018310547,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9186.43745105314
2024-02-07,2024-02-08,187.5800018310547,188.86000061035156,1.279998779296875,189.55999755859375,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9238.51736133146
2024-02-08,2024-02-09,189.55999755859375,189.55999755859375,0.0,193.57000732421875,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9280.09727160978
2024-02-09,2024-02-12,193.57000732421875,193.57000732421875,0.0,188.1300048828125,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9364.307476687905
2024-02-12,2024-02-13,188.1300048828125,193.57000732421875,5.44000244140625,184.02000427246094,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9250.067425418374
2024-02-13,2024-02-14,184.02000427246094,193.57000732421875,9.550003051757812,188.7100067138672,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9163.757412600991
2024-02-14,2024-02-15,188.7100067138672,193.57000732421875,4.8600006103515625,200.4499969482422,0.0,0.0,0.0,0.0,0.0,0.0,False,5299.337322879312,21.0,9262.247463870523
